BuyEV,PriceBudgetRatio,range,HomeSlowChgWalkTime,WorkSlowChgWalkTime,FastChgTime,TownToFastChgDriveTime,HwyFastChgDistance,gender,race,state,license,edu,employment,hsincome,hhsize,housit,residence,move,all_car,new_car,ev,new_ev,home_parking,hp2,hp3,hp4,hp5,hp6,HomeChgAvai,work_parking,WorkChgAvai,buycar,zipcode,dmileage,long_dist,gascost,age,used_car_owner,used_ev_owner,used,NextCarBudget,PopDensity,orphan,ev_owner,priceshow,zip_median_home_value,state_elec_price,state_high_temp,state_precip
0,0.85,100,2,3,30,5,30,1,Asian,Illinois,Yes,5,1,5,4,2,1,2,3,0,0,0,Attached garage,,,,,,2,2,2,3,60169,20,1,150,24,1,0,1,20000,4405.514,1,0,17000,216500,12.56,62.7,40.7
0,0.85,200,20,10,60,5,no,1,White,Tennessee,Yes,3,1,3,4,2,1,1,4,0,0,0,Attached garage,,Driveway or carport,,,,1,2,2,1,37083,80,4,100,39,1,0,1,15000,94.78695,2,0,12750,111300,10.79,69.4,55.1
1,0.7,400,1,0,60,5,30,1,White,Missouri,Yes,8,1,3,2,1,1,3,1,1,0,0,Attached garage,,,,,,2,2,1,1,65802,20,1,80,48,0,0,0,30000,696.0471,1,0,21000,97300,13.23,66,43.5
1,0.85,200,1,10,60,10,50,1,Asian,Illinois,Yes,5,1,5,4,2,1,2,3,0,0,0,Attached garage,,,,,,2,2,2,3,60169,20,1,150,24,1,0,1,20000,4405.514,1,0,17000,216500,12.56,62.7,40.7
1,0.7,400,0,20,15,no,50,0,White,Rhode Island,Yes,4,1,4,3,1,1,3,2,2,0,0,Attached garage,,,,,,2,2,2,1,2893,40,2,80,56,0,0,0,25000,3766.109,1,0,17500,198200,18.64,60,49.1
0,0.85,400,1,10,30,no,30,0,White,Tennessee,Yes,3,1,1,3,2,1,2,1,0,0,0,Attached garage,,,,,,2,4,2,3,38135,50,0,120,30,1,0,1,5000,2397.134,1,0,4250,165400,10.79,69.4,55.1
1,0.7,100,5,20,5,15,50,0,Black or African American,Ohio,Yes,3,1,2,1,2,3,1,1,1,1,1,,,Driveway or carport,,On street,,1,1,1,3,43214,10,1,20,23,0,0,1,30000,3664.293,2,1,21000,205100,12.64,61.7,41.1
0,0.7,300,1,20,60,no,no,1,White,Minnesota,Yes,5,1,1,1,1,1,2,1,1,0,0,Attached garage,,,,,,1,5,3,2,56301,5,1,10,62,0,0,1,5000,437.0133,2,0,3500,179800,14.09,51.9,28.6
0,1,100,3,5,5,no,no,1,Black or African American,Pennsylvania,Yes,4,1,3,5,1,1,2,3,1,0,0,,,,,On street,,2,2,2,2,15210,20,1,100,33,1,0,1,20000,5593.979,1,0,20000,55200,14.38,59.7,45
0,1,300,0,1,30,5,no,0,White,Arizona,Yes,1,2,2,3,1,2,1,1,1,1,1,Attached garage,,,,,,1,2,1,1,85042,10,1,70,42,0,0,1,40000,2725.207,2,1,40000,118600,13.16,75.3,11.6
1,0.85,200,0,0,5,5,50,0,White,Virginia,Yes,5,1,5,4,1,1,2,3,1,0,0,,,Driveway or carport,,,,1,2,2,3,24179,10,1,120,30,1,0,1,15000,393.606,2,0,12750,169600,12.4,66.9,45.8
1,0.7,200,2,1,30,10,70,0,White,Pennsylvania,Yes,6,4,3,3,1,1,3,2,2,0,0,Attached garage,,Driveway or carport,,,,2,5,2,3,16505,10,0,50,35,0,0,0,15000,1446.726,1,0,10500,135400,14.38,59.7,45
0,0.7,100,3,10,15,5,30,0,White,Pennsylvania,Yes,5,1,3,4,2,5,3,1,1,1,1,,,,Assigned parking space,On street,,2,2,1,1,19104,5,1,100,56,0,0,1,20000,17231.71,1,1,14000,108500,14.38,59.7,45
1,1,100,20,0,60,15,no,0,White,Louisiana,Yes,4,1,5,2,1,1,1,2,2,1,1,,,Driveway or carport,,,,1,2,2,1,70466,35,2,60,32,0,0,0,40000,269.7789,2,1,40000,113200,9.37,77.5,59.7
